source,rank,x1,y1,x2,y2,length,angle_degrees
cnn_or_selected_backend,1,113.0,916.0,119.0,555.0,361.04985805287333,90.95219675191187
cnn_or_selected_backend,2,263.0,1020.0,587.0,897.0,346.5616828213991,159.2117543109697
cnn_or_selected_backend,3,472.0,841.0,683.0,630.0,298.3990616607231,135.0
cnn_or_selected_backend,4,312.0,950.0,594.0,914.0,284.2885857715712,172.72499504211075
cnn_or_selected_backend,5,103.0,1277.0,111.0,1007.0,270.1184925176357,91.69715618960028
cnn_or_selected_backend,6,612.0,878.0,803.0,687.0,270.1147904132612,135.0
cnn_or_selected_backend,7,323.0,955.0,584.0,893.0,268.26293072282647,166.6371840495925
cnn_or_selected_backend,8,993.0,522.0,1004.0,787.0,265.228203628498,87.62304918559653
cnn_or_selected_backend,9,948.0,995.0,990.0,751.0,247.58836806279893,99.7666793957727
cnn_or_selected_backend,10,789.0,895.0,1033.0,857.0,246.94128856876083,171.14799590061057
cnn_or_selected_backend,11,990.0,524.0,1000.0,768.0,244.20483205702544,87.65312570751271
cnn_or_selected_backend,12,431.0,918.0,673.0,888.0,243.85241438214223,172.93327028359892
cnn_or_selected_backend,13,128.0,922.0,132.0,687.0,235.03404008781365,90.97515314309256
cnn_or_selected_backend,14,787.0,892.0,1020.0,898.0,233.0772404161333,1.4751018008569667
cnn_or_selected_backend,15,391.0,938.0,608.0,868.0,228.01096464863264,162.12130340415865
cnn_or_selected_backend,16,428.0,606.0,435.0,379.0,227.1079038695043,91.76627048600905
cnn_or_selected_backend,17,683.0,873.0,689.0,648.0,225.07998578283232,91.52752544221293
cnn_or_selected_backend,18,267.0,993.0,489.0,1026.0,224.43930137121706,8.455027677177453
cnn_or_selected_backend,19,809.0,491.0,812.0,711.0,220.02045359466015,89.21874233839137
cnn_or_selected_backend,20,639.0,895.0,757.0,715.0,215.23010941780427,123.24706774933586
cnn_or_selected_backend,21,433.0,923.0,647.0,902.0,215.02790516581794,174.39546093760995
cnn_or_selected_backend,22,435.0,921.0,648.0,900.0,214.03270778084362,174.36931724236473
cnn_or_selected_backend,23,1.0,533.0,1.0,319.0,214.0,90.0
cnn_or_selected_backend,24,784.0,907.0,995.0,918.0,211.28653530218153,2.984282143593377
cnn_or_selected_backend,25,453.0,875.0,601.0,1023.0,209.30360723121808,45.0
cnn_or_selected_backend,26,1089.0,459.0,1099.0,668.0,209.2390976849212,87.26066427808142
cnn_or_selected_backend,27,531.0,762.0,597.0,958.0,206.81392603013947,71.38983527217266
