intensity,style-distance,spatial-cosine-distance,spatial-relative-rms
0,0,0,0
25,0.5029598329,0.1044854751,0.4287778637
50,0.5303100793,0.114818076,0.4533633196
100,0.5549039397,0.1297876482,0.4821979121
