intensity,style-distance,spatial-cosine-distance,spatial-relative-rms
0,0,-1.348024701e-17,0
25,0.07952104915,0.005927042892,0.09061713083
50,0.1568847262,0.01324580986,0.1553892374
75,0.2299874896,0.02290858025,0.2144726686
100,0.3025078111,0.03334487753,0.2692541459
