intensity,style-distance,spatial-cosine-distance,spatial-relative-rms
0,0,-1.348024701e-17,0
25,0.0885430306,0.09709733112,0.4699324833
50,0.1042783029,0.200191926,0.6863037693
75,0.1184528733,0.286499464,0.8289016115
100,0.1266635647,0.3525459611,0.9188680604
