step,style_strength,content_loss,style_loss,tv_loss,weighted_content_loss,weighted_style_loss,weighted_tv_loss,total_loss
0,1.0,1.7270420789718628,9.35553998715477e-06,0.059862662106752396,1.7270420789718628,9.35554027557373,5.986265932733659e-06,11.082588195800781
1,1.0,3.7365968227386475,1.095712559617823e-05,0.06942307949066162,3.7365968227386475,10.957125663757324,6.942307663848624e-06,14.693729400634766
2,1.0,2.7956042289733887,9.301106729253661e-06,0.07684147357940674,2.7956042289733887,9.301106452941895,7.684147021791432e-06,12.096717834472656
3,1.0,3.1898603439331055,7.898220246715937e-06,0.0823243036866188,3.1898603439331055,7.898220062255859,8.232430445787031e-06,11.088088989257812
4,1.0,2.4057857990264893,8.528669241059106e-06,0.08603272587060928,2.4057857990264893,8.528669357299805,8.603272362961434e-06,10.934463500976562
5,1.0,2.3225998878479004,6.917047812748933e-06,0.0884348452091217,2.3225998878479004,6.91704797744751,8.843484465614893e-06,9.239656448364258
6,1.0,2.2663488388061523,6.256014785321895e-06,0.09012240171432495,2.2663488388061523,6.256014823913574,9.012240298034158e-06,8.522372245788574
7,1.0,1.9640066623687744,5.9145031627849676e-06,0.09128075838088989,1.9640066623687744,5.91450309753418,9.128075362241361e-06,7.878518581390381
8,1.0,1.8533685207366943,5.53741574549349e-06,0.09205427765846252,1.8533685207366943,5.537415981292725,9.205427886627149e-06,7.390793323516846
9,1.0,1.7919524908065796,5.004714239476016e-06,0.09253984689712524,1.7919524908065796,5.004714012145996,9.253984899260104e-06,6.796675682067871
10,1.0,1.7174030542373657,4.624874691216974e-06,0.09282664209604263,1.7174030542373657,4.624874591827393,9.28266399569111e-06,6.342286586761475
11,1.0,1.6093721389770508,4.33339710070868e-06,0.09296940267086029,1.6093721389770508,4.333396911621094,9.296940334024839e-06,5.94277811050415
12,1.0,1.5163921117782593,4.0746044760453515e-06,0.09301400929689407,1.5163921117782593,4.074604511260986,9.301400496042334e-06,5.591006278991699
13,1.0,1.4523953199386597,3.807165967373294e-06,0.09299391508102417,1.4523953199386597,3.8071658611297607,9.299391422246117e-06,5.259570598602295
14,1.0,1.4048067331314087,3.5746227240451844e-06,0.09292840212583542,1.4048067331314087,3.574622631072998,9.292840331909247e-06,4.979438304901123
