candidate_image_id,candidate_path,layer,absolute_frobenius,relative_frobenius
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,relu1_1,0.0,0.0
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,relu2_1,0.0,0.0
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,relu3_1,0.0,0.0
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,relu4_1,0.0,0.0
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,relu5_1,0.0,0.0
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,aggregate,0.0,0.0
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,relu1_1,0.0013063933982004892,0.008745745106060248
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,relu2_1,0.021354093282038373,0.0401337579914171
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,relu3_1,0.13605739104379055,0.07593699486431629
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,relu4_1,0.27262749965975075,0.12596790885794593
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,relu5_1,0.11211431464954374,0.19193074618221
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,aggregate,0.10869193840666477,0.08854303060038991
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,relu1_1,0.0015851596369886073,0.010611965857002722
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,relu2_1,0.02501890949099156,0.04702156375635988
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,relu3_1,0.1581759178204912,0.08828189168589337
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,relu4_1,0.3439934126948157,0.15894262652210225
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,relu5_1,0.12648573356186432,0.21653346675505558
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,aggregate,0.13105182664103027,0.10427830291528277
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,relu1_1,0.0020259897818182618,0.01356313515030935
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,relu2_1,0.025506519593499387,0.04793799816496481
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,relu3_1,0.16870024588295227,0.09415577946147378
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,relu4_1,0.36675992981643135,0.16946192687649692
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,relu5_1,0.15605023304298477,0.26714552698708144
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,aggregate,0.1438085836235372,0.11845287332806524
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,relu1_1,0.0024807341364804026,0.01660745412786483
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,relu2_1,0.026808980383632112,0.050385896347954616
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,relu3_1,0.19205254391362409,0.10718927453308195
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,relu4_1,0.42534092010340313,0.19652935350985984
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,relu5_1,0.15339842589550773,0.262605845090639
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,aggregate,0.1600163208865295,0.12666356472188006
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,relu1_1,0.0,0.0
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,relu2_1,0.0,0.0
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,relu3_1,0.0,0.0
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,relu4_1,0.0,0.0
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,relu5_1,0.0,0.0
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,aggregate,0.0,0.0
style-baseline-025-b09b9f6f4d,outputs/transformations/style/style-baseline-025.png,relu1_1,0.010059683270003283,0.06734527734780038
style-baseline-025-b09b9f6f4d,outputs/transformations/style/style-baseline-025.png,relu2_1,0.039351816078304645,0.07395941574994741
style-baseline-025-b09b9f6f4d,outputs/transformations/style/style-baseline-025.png,relu3_1,0.16928455412034293,0.09448189633966404
style-baseline-025-b09b9f6f4d,outputs/transformations/style/style-baseline-025.png,relu4_1,0.16515871646694186,0.07631181069029391
style-baseline-025-b09b9f6f4d,outputs/transformations/style/style-baseline-025.png,relu5_1,0.04994791916027322,0.08550684562133169
