step,style_strength,content_loss,style_loss,tv_loss,weighted_content_loss,weighted_style_loss,weighted_tv_loss,total_loss
0,1.0,1.7291145324707031,9.332086847280152e-06,0.06057088077068329,1.7291145324707031,9.332086563110352,6.057087830413366e-06,11.061206817626953
1,1.0,3.883934259414673,1.1580768841668032e-05,0.07009557634592056,3.883934259414673,11.580768585205078,7.0095575210871175e-06,15.464709281921387
2,1.0,2.9191648960113525,9.392175343236886e-06,0.07704314589500427,2.9191648960113525,9.392175674438477,7.704314157308545e-06,12.311347961425781
3,1.0,3.2742373943328857,7.946154255478177e-06,0.08235806226730347,3.2742373943328857,7.9461541175842285,8.23580558062531e-06,11.220399856567383
4,1.0,2.4666640758514404,8.663138942210935e-06,0.08606492727994919,2.4666640758514404,8.663139343261719,8.606492883700412e-06,11.129812240600586
5,1.0,2.391849994659424,6.956335710128769e-06,0.0884355753660202,2.391849994659424,6.956335544586182,8.843557225191034e-06,9.348194122314453
6,1.0,2.304380416870117,6.2755307226325385e-06,0.09009155631065369,2.304380416870117,6.275530815124512,9.009155292005744e-06,8.579919815063477
7,1.0,2.016278028488159,5.966973731119651e-06,0.09125281870365143,2.016278028488159,5.966973781585693,9.125281394517515e-06,7.983260631561279
8,1.0,1.897060513496399,5.567784228333039e-06,0.09205850958824158,1.897060513496399,5.567784309387207,9.205850801663473e-06,7.464853763580322
9,1.0,1.839629888534546,5.04815125168534e-06,0.09259797632694244,1.839629888534546,5.048151016235352,9.259797479899134e-06,6.887790203094482
10,1.0,1.762064814567566,4.672853719966952e-06,0.09293560683727264,1.762064814567566,4.672853946685791,9.293560651713051e-06,6.434927940368652
11,1.0,1.6515507698059082,4.390767571749166e-06,0.09311570227146149,1.6515507698059082,4.390767574310303,9.311569556302857e-06,6.042327880859375
12,1.0,1.5577868223190308,4.125037321500713e-06,0.09318177402019501,1.5577868223190308,4.12503719329834,9.318177035311237e-06,5.682833671569824
13,1.0,1.497531771659851,3.857431693177205e-06,0.09317489713430405,1.497531771659851,3.857431650161743,9.317489457316697e-06,5.354972839355469
14,1.0,1.4450472593307495,3.626305215220782e-06,0.09312490373849869,1.4450472593307495,3.626305103302002,9.312489964941051e-06,5.071362018585205
15,1.0,1.387176513671875,3.4355166462773923e-06,0.09304457902908325,1.387176513671875,3.435516595840454,9.304457307734992e-06,4.822702407836914
16,1.0,1.3303600549697876,3.260252924519591e-06,0.09293635189533234,1.3303600549697876,3.2602529525756836,9.293635230278596e-06,4.5906219482421875
17,1.0,1.2860187292099,3.0933144898881437e-06,0.09280704706907272,1.2860187292099,3.0933144092559814,9.280704034608789e-06,4.379342079162598
18,1.0,1.2493141889572144,2.939192881967756e-06,0.0926649272441864,1.2493141889572144,2.939192771911621,9.266492270398885e-06,4.188516139984131
19,1.0,1.2075059413909912,2.804405767165008e-06,0.09251805394887924,1.2075059413909912,2.804405689239502,9.251804840459954e-06,4.01192045211792
20,1.0,1.1665971279144287,2.681781552382745e-06,0.09236998111009598,1.1665971279144287,2.681781530380249,9.23699826671509e-06,3.8483879566192627
21,1.0,1.1363595724105835,2.5588299195078434e-06,0.09222251176834106,1.1363595724105835,2.5588300228118896,9.222250810125843e-06,3.6951987743377686
22,1.0,1.1088346242904663,2.4439955268462654e-06,0.0920766144990921,1.1088346242904663,2.443995475769043,9.207661605614703e-06,3.552839517593384
23,1.0,1.0762641429901123,2.344173481105827e-06,0.09193378686904907,1.0762641429901123,2.3441734313964844,9.193378900818061e-06,3.4204468727111816
24,1.0,1.048518180847168,2.2481938231067033e-06,0.09179072827100754,1.048518180847168,2.2481937408447266,9.179072549159173e-06,3.2967209815979004
25,1.0,1.0258666276931763,2.1537482552957954e-06,0.09165012836456299,1.0258666276931763,2.1537482738494873,9.165012670564465e-06,3.179624080657959
26,1.0,1.0014175176620483,2.070048140012659e-06,0.09151342511177063,1.0014175176620483,2.0700480937957764,9.151342055702116e-06,3.071474552154541
27,1.0,0.9771602153778076,1.993779733311385e-06,0.09138072282075882,0.9771602153778076,1.9937797784805298,9.138071618508548e-06,2.970949172973633
28,1.0,0.9584455490112305,1.918391262734076e-06,0.09125187247991562,0.9584455490112305,1.918391227722168,9.12518680706853e-06,2.8768458366394043
29,1.0,0.9419337511062622,1.8474484022590332e-06,0.09112823009490967,0.9419337511062622,1.8474483489990234,9.11282313609263e-06,2.789391040802002
30,1.0,0.9229733943939209,1.7842643273979775e-06,0.09100930392742157,0.9229733943939209,1.784264326095581,9.100930583372246e-06,2.707246780395508
31,1.0,0.9064087271690369,1.7249142274522455e-06,0.09089121222496033,0.9064087271690369,1.7249141931533813,9.089120794669725e-06,2.6313319206237793
32,1.0,0.8896461129188538,1.6705940879546688e-06,0.09077450633049011,0.8896461129188538,1.6705940961837769,9.077450158656575e-06,2.5602493286132812
33,1.0,0.8757724165916443,1.6179386648218497e-06,0.09066275507211685,0.8757724165916443,1.6179386377334595,9.06627519725589e-06,2.493720054626465
34,1.0,0.8615278005599976,1.5683802985222428e-06,0.09055577963590622,0.8615278005599976,1.568380355834961,9.055577720573638e-06,2.429917335510254
35,1.0,0.8498813509941101,1.5221830835798755e-06,0.09045363962650299,0.8498813509941101,1.5221830606460571,9.045364095072728e-06,2.3720734119415283
36,1.0,0.8399883508682251,1.4789555962124723e-06,0.09035401046276093,0.8399883508682251,1.478955626487732,9.035400580614805e-06,2.318953037261963
37,1.0,0.8287156224250793,1.440398364138673e-06,0.09025400876998901,0.8287156224250793,1.4403983354568481,9.025400686368812e-06,2.269123077392578
38,1.0,0.8226760029792786,1.4006824358148151e-06,0.09015338122844696,0.8226760029792786,1.4006824493408203,9.015338036988396e-06,2.22336745262146
39,1.0,0.8086832761764526,1.3728333669860149e-06,0.09005668014287949,0.8086832761764526,1.3728333711624146,9.005667379824445e-06,2.181525707244873
40,1.0,0.8108402490615845,1.335628098786401e-06,0.08995935320854187,0.8108402490615845,1.3356281518936157,8.995934877020773e-06,2.146477460861206
41,1.0,0.8025856614112854,1.3263568234833656e-06,0.08986854553222656,0.8025856614112854,1.3263567686080933,8.986854481918272e-06,2.1289515495300293
42,1.0,0.8300337195396423,1.2918344509671442e-06,0.08977676928043365,0.8300337195396423,1.2918344736099243,8.977676770882681e-06,2.1218771934509277
43,1.0,0.820716142654419,1.341159645562584e-06,0.08970333635807037,0.820716142654419,1.341159701347351,8.970333510660566e-06,2.1618847846984863
44,1.0,0.8144156336784363,1.2624450391740538e-06,0.08964230865240097,0.8144156336784363,1.262445092201233,8.96423080121167e-06,2.0768697261810303
45,1.0,0.7935190200805664,1.2198860304124537e-06,0.0895848199725151,0.7935190200805664,1.219886064529419,8.958481885201763e-06,2.013414144515991
46,1.0,0.7779668569564819,1.2085311027476564e-06,0.08953224122524261,0.7779668569564819,1.208531141281128,8.953224096330814e-06,1.9865069389343262
47,1.0,0.7893842458724976,1.1901150855919695e-06,0.08947881311178207,0.7893842458724976,1.1901150941848755,8.947880814957898e-06,1.9795082807540894
48,1.0,0.7687045931816101,1.2012742445222102e-06,0.08941566944122314,0.7687045931816101,1.2012742757797241,8.94156710273819e-06,1.9699877500534058
49,1.0,0.7786294221878052,1.1446721828178852e-06,0.08935189992189407,0.7786294221878052,1.144672155380249,8.935189725889359e-06,1.9233105182647705
50,1.0,0.750690221786499,1.140972699431586e-06,0.08928780257701874,0.750690221786499,1.1409727334976196,8.928779607231263e-06,1.891671895980835
51,1.0,0.7477778792381287,1.1193740192538826e-06,0.08922359347343445,0.7477778792381287,1.1193740367889404,8.922359484131448e-06,1.8671609163284302
52,1.0,0.749441385269165,1.1006534350599395e-06,0.08916188776493073,0.749441385269165,1.1006534099578857,8.916188562579919e-06,1.850103735923767
53,1.0,0.7333890795707703,1.1089171039202483e-06,0.08909904211759567,0.7333890795707703,1.1089171171188354,8.909903954190668e-06,1.8423150777816772
54,1.0,0.7590146064758301,1.071943643182749e-06,0.08904068171977997,0.7590146064758301,1.0719436407089233,8.90406772668939e-06,1.8309671878814697
55,1.0,0.720599353313446,1.1265514103797614e-06,0.08898770809173584,0.720599353313446,1.1265513896942139,8.898770829546265e-06,1.847159743309021
56,1.0,0.7715051770210266,1.0535097771935398e-06,0.08894529938697815,0.7715051770210266,1.0535098314285278,8.894529855751898e-06,1.8250240087509155
57,1.0,0.7212122678756714,1.0872196298805648e-06,0.0889119952917099,0.7212122678756714,1.0872195959091187,8.891199286154006e-06,1.8084408044815063
58,1.0,0.7279085516929626,1.0376329555583652e-06,0.08888646960258484,0.7279085516929626,1.037632942199707,8.888646334526129e-06,1.7655504941940308
59,1.0,0.7285118699073792,1.0178634965996025e-06,0.08885964751243591,0.7285118699073792,1.0178635120391846,8.8859642346506e-06,1.7463842630386353
60,1.0,0.7058513164520264,1.030641556098999e-06,0.0888306051492691,0.7058513164520264,1.0306415557861328,8.88306021806784e-06,1.7365018129348755
