source,rank,x1,y1,x2,y2,length,angle_degrees
cnn_or_selected_backend,62,164.0,693.0,173.0,876.0,183.22117781522965,87.18444331578877
cnn_or_selected_backend,63,682.0,798.0,811.0,669.0,182.43354954612926,135.0
cnn_or_selected_backend,64,569.0,852.0,569.0,670.0,182.0,90.0
cnn_or_selected_backend,65,679.0,790.0,807.0,662.0,181.01933598375618,135.0
cnn_or_selected_backend,66,908.0,918.0,1043.0,1038.0,180.62391868188442,41.6335393365702
cnn_or_selected_backend,67,472.0,953.0,648.0,916.0,179.84715733088473,168.12774968601545
cnn_or_selected_backend,68,37.0,1012.0,70.0,1188.0,179.06702655709677,79.38034472384487
cnn_or_selected_backend,69,968.0,455.0,969.0,276.0,179.00279327429502,90.32008482378167
cnn_or_selected_backend,70,2.0,1074.0,2.0,1253.0,179.0,90.0
cnn_or_selected_backend,71,1053.0,568.0,1053.0,747.0,179.0,90.0
cnn_or_selected_backend,72,293.0,987.0,466.0,1030.0,178.2638493918495,13.958290074511394
cnn_or_selected_backend,73,418.0,1044.0,546.0,920.0,178.2133552795637,135.90938044919915
cnn_or_selected_backend,74,1097.0,592.0,1097.0,414.0,178.0,90.0
cnn_or_selected_backend,75,499.0,842.0,619.0,711.0,177.65415840897168,132.49063526014828
cnn_or_selected_backend,76,1.0,314.0,1.0,137.0,177.0,90.0
cnn_or_selected_backend,77,258.0,629.0,433.0,629.0,175.0,0.0
cnn_or_selected_backend,78,939.0,1040.0,1109.0,1000.0,174.64249196572982,166.7594800848128
cnn_or_selected_backend,79,847.0,1235.0,1021.0,1230.0,174.07182425654074,178.35402250243595
cnn_or_selected_backend,80,351.0,886.0,474.0,1009.0,173.9482681718907,45.0
cnn_or_selected_backend,81,768.0,921.0,941.0,928.0,173.1415605797753,2.317062385871327
cnn_or_selected_backend,82,1097.0,171.0,1098.0,343.0,172.00290695217916,89.66688875607863
cnn_or_selected_backend,83,625.0,668.0,746.0,789.0,171.1198410471445,45.0
cnn_or_selected_backend,84,492.0,877.0,661.0,900.0,170.55790805471318,7.750036422919295
cnn_or_selected_backend,85,142.0,573.0,148.0,743.0,170.10584939971935,87.97863505964398
cnn_or_selected_backend,86,155.0,228.0,161.0,398.0,170.10584939971935,87.97863505964398
cnn_or_selected_backend,87,573.0,839.0,573.0,669.0,170.0,90.0
cnn_or_selected_backend,88,470.0,927.0,639.0,943.0,169.75570682601514,5.408332157475353
cnn_or_selected_backend,89,868.0,882.0,1035.0,910.0,169.33103672983285,9.51794916094876
cnn_or_selected_backend,90,868.0,884.0,1035.0,911.0,169.1685549976709,9.183919250844347
cnn_or_selected_backend,91,870.0,887.0,1036.0,912.0,167.87197502859135,8.564518642575582
cnn_or_selected_backend,92,167.0,507.0,174.0,674.0,167.14664220378464,87.59978553914337
cnn_or_selected_backend,93,448.0,993.0,613.0,968.0,166.88319268278636,171.38435181583588
cnn_or_selected_backend,94,3.0,540.0,169.0,535.0,166.0752841334315,178.27474512452736
cnn_or_selected_backend,95,920.0,925.0,1044.0,1034.0,165.0969412193939,41.31651361083951
cnn_or_selected_backend,96,464.0,936.0,589.0,829.0,164.54178800535746,139.43647448565736
cnn_or_selected_backend,97,788.0,886.0,904.0,1002.0,164.04877323527901,45.0
cnn_or_selected_backend,98,632.0,668.0,733.0,796.0,163.04907236779974,51.72435309310964
cnn_or_selected_backend,99,594.0,872.0,594.0,709.0,163.0,90.0
cnn_or_selected_backend,100,143.0,310.0,150.0,472.0,162.15116404145854,87.52579553182956
cnn_or_selected_backend,101,634.0,668.0,733.0,795.0,161.02794788483146,52.06260267041578
cnn_or_selected_backend,102,1004.0,560.0,1005.0,720.0,160.00312496948303,89.64190604067643
cnn_or_selected_backend,103,606.0,878.0,719.0,765.0,159.80613254815975,135.0
cnn_or_selected_backend,104,284.0,625.0,443.0,625.0,159.0,0.0
cnn_or_selected_backend,105,142.0,646.0,300.0,644.0,158.01265772082945,179.27477570094075
cnn_or_selected_backend,106,988.0,860.0,1031.0,1012.0,157.96518603793686,74.20407101092607
cnn_or_selected_backend,107,6.0,833.0,35.0,988.0,157.68956845650888,79.40266485497644
cnn_or_selected_backend,108,734.0,977.0,881.0,920.0,157.66420012165096,158.80594351845772
cnn_or_selected_backend,109,181.0,1202.0,338.0,1192.0,157.31814898478814,176.35551048722843
cnn_or_selected_backend,110,179.0,968.0,186.0,1125.0,157.15597347857954,87.44710185282825
cnn_or_selected_backend,111,684.0,775.0,799.0,668.0,157.07959765672945,137.06381972845696
cnn_or_selected_backend,112,645.0,668.0,734.0,795.0,155.08062419270823,54.97771262015058
cnn_or_selected_backend,113,652.0,890.0,726.0,755.0,153.95129099815955,118.72926878445519
cnn_or_selected_backend,114,648.0,668.0,736.0,794.0,153.68799562750502,55.06906269888942
cnn_or_selected_backend,115,892.0,1044.0,948.0,901.0,153.57408635573907,111.38572793192836
cnn_or_selected_backend,116,702.0,775.0,811.0,667.0,153.44380078712857,135.2640339812591
cnn_or_selected_backend,117,1052.0,621.0,1054.0,469.0,152.0131573252789,90.75384833307076
cnn_or_selected_backend,118,383.0,777.0,384.0,625.0,152.00328943809077,90.37694047959712
cnn_or_selected_backend,119,652.0,669.0,737.0,794.0,151.16216457830973,55.7842978675626
cnn_or_selected_backend,120,505.0,829.0,654.0,852.0,150.7647173578752,8.775055744479678
cnn_or_selected_backend,121,302.0,796.0,450.0,816.0,149.34523762075577,7.696051722016569
cnn_or_selected_backend,122,661.0,666.0,739.0,793.0,149.04026301640775,58.44286765683037
cnn_or_selected_backend,123,883.0,940.0,1026.0,981.0,148.7615541731129,15.99830057611188
cnn_or_selected_backend,124,883.0,947.0,1027.0,980.0,147.73286702694156,12.907408671265838
cnn_or_selected_backend,125,257.0,1191.0,404.0,1182.0,147.27525250360293,176.49646835521554
cnn_or_selected_backend,126,37.0,566.0,182.0,564.0,145.01379244747721,179.2097634975708
cnn_or_selected_backend,127,2.0,460.0,2.0,315.0,145.0,90.0
cnn_or_selected_backend,128,897.0,921.0,1035.0,877.0,144.84474446799925,162.31560797344224
cnn_or_selected_backend,129,800.0,642.0,800.0,498.0,144.0,90.0
cnn_or_selected_backend,130,573.0,1048.0,629.0,916.0,143.38758663147937,112.98871680208063
cnn_or_selected_backend,131,39.0,865.0,182.0,871.0,143.1258187749506,2.402609468986042
cnn_or_selected_backend,132,761.0,938.0,892.0,881.0,142.86357128393507,156.4854433170634
cnn_or_selected_backend,133,536.0,838.0,637.0,737.0,142.8355697996826,135.0
cnn_or_selected_backend,134,326.0,1016.0,468.0,1018.0,142.01408380861386,0.8069294551023745
cnn_or_selected_backend,135,1090.0,667.0,1090.0,525.0,142.0,90.0
cnn_or_selected_backend,136,372.0,912.0,486.0,996.0,141.60508465447137,36.384351815835885
cnn_or_selected_backend,137,190.0,1037.0,196.0,1178.0,141.12760183606892,87.56335175318986
cnn_or_selected_backend,138,0.0,571.0,141.0,568.0,141.0319112825179,178.7811247648687
cnn_or_selected_backend,139,233.0,626.0,374.0,626.0,141.0,0.0
cnn_or_selected_backend,140,2.0,194.0,141.0,177.0,140.03570973148243,173.02723071397355
cnn_or_selected_backend,141,387.0,647.0,527.0,647.0,140.0,0.0
cnn_or_selected_backend,142,981.0,1180.0,1108.0,1236.0,138.7984149765407,23.794835379877796
cnn_or_selected_backend,143,606.0,779.0,728.0,713.0,138.70832707519762,151.58733855692742
cnn_or_selected_backend,144,419.0,974.0,555.0,952.0,137.7679207943562,170.81116392264124
cnn_or_selected_backend,145,426.0,761.0,430.0,624.0,137.05838172107534,91.67239436108926
cnn_or_selected_backend,146,1061.0,138.0,1062.0,1.0,137.00364958642524,90.41820994149708
cnn_or_selected_backend,147,761.0,932.0,896.0,914.0,136.194713553794,172.40535663140855
cnn_or_selected_backend,148,572.0,896.0,682.0,976.0,136.01470508735443,36.02737338510361
cnn_or_selected_backend,149,186.0,512.0,186.0,648.0,136.0,90.0
cnn_or_selected_backend,150,857.0,909.0,982.0,856.0,135.77186748365804,157.02305549681125
